question_index,prefix,plurality_answer,plurality_vote_key,plurality_correct,valid_answers,invalid_answers,consensus,answer_entropy,vote_margin,unique_answers,answer_stability,invalid_extraction_rate,cumulative_output_tokens,prediction_changes_by_n16,current_incorrect_n16_correct,current_correct_n16_incorrect,additional_sampling_improves_correctness,answer_changes_without_correctness_improve,future_utility_class,is_test_question
0,1,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,1,0,1.0,-0.0,1.0,1,1,0.0,275,False,False,False,False,False,no_correctness_change,True
0,2,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,2,0,1.0,-0.0,1.0,1,2,0.0,635,False,False,False,False,False,no_correctness_change,True
0,3,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,3,0,1.0,-0.0,1.0,1,3,0.0,992,False,False,False,False,False,no_correctness_change,True
0,4,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,4,0,1.0,-0.0,1.0,1,4,0.0,1281,False,False,False,False,False,no_correctness_change,True
0,5,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,5,0,1.0,-0.0,1.0,1,5,0.0,1568,False,False,False,False,False,no_correctness_change,True
0,6,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,6,0,1.0,-0.0,1.0,1,6,0.0,1893,False,False,False,False,False,no_correctness_change,True
0,7,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,7,0,1.0,-0.0,1.0,1,7,0.0,2164,False,False,False,False,False,no_correctness_change,True
0,8,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,8,0,1.0,-0.0,1.0,1,8,0.0,2410,False,False,False,False,False,no_correctness_change,True
0,9,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,9,0,1.0,-0.0,1.0,1,9,0.0,2736,False,False,False,False,False,no_correctness_change,True
0,10,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,10,0,1.0,-0.0,1.0,1,10,0.0,3035,False,False,False,False,False,no_correctness_change,True
0,11,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,11,0,1.0,-0.0,1.0,1,11,0.0,3311,False,False,False,False,False,no_correctness_change,True
0,12,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,12,0,1.0,-0.0,1.0,1,12,0.0,3565,False,False,False,False,False,no_correctness_change,True
0,13,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,13,0,1.0,-0.0,1.0,1,13,0.0,3918,False,False,False,False,False,no_correctness_change,True
0,14,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,14,0,1.0,-0.0,1.0,1,14,0.0,4260,False,False,False,False,False,no_correctness_change,True
0,15,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,15,0,1.0,-0.0,1.0,1,15,0.0,4636,False,False,False,False,False,no_correctness_change,True
0,16,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",True,16,0,1.0,-0.0,1.0,1,16,0.0,4955,False,False,False,False,False,no_correctness_change,True
1,1,p - q,sympy:p - q,True,1,0,1.0,-0.0,1.0,1,1,0.0,560,False,False,False,False,False,no_correctness_change,False
1,2,p - q,sympy:p - q,True,2,0,1.0,-0.0,1.0,1,2,0.0,1087,False,False,False,False,False,no_correctness_change,False
1,3,p - q,sympy:p - q,True,3,0,1.0,-0.0,1.0,1,3,0.0,1743,False,False,False,False,False,no_correctness_change,False
1,4,p - q,sympy:p - q,True,4,0,1.0,-0.0,1.0,1,4,0.0,2443,False,False,False,False,False,no_correctness_change,False
1,5,p - q,sympy:p - q,True,5,0,1.0,-0.0,1.0,1,5,0.0,3050,False,False,False,False,False,no_correctness_change,False
1,6,p - q,sympy:p - q,True,6,0,1.0,-0.0,1.0,1,6,0.0,3668,False,False,False,False,False,no_correctness_change,False
1,7,p - q,sympy:p - q,True,7,0,1.0,-0.0,1.0,1,7,0.0,4225,False,False,False,False,False,no_correctness_change,False
1,8,p - q,sympy:p - q,True,8,0,1.0,-0.0,1.0,1,8,0.0,4900,False,False,False,False,False,no_correctness_change,False
1,9,p - q,sympy:p - q,True,9,0,1.0,-0.0,1.0,1,9,0.0,5415,False,False,False,False,False,no_correctness_change,False
1,10,p - q,sympy:p - q,True,10,0,1.0,-0.0,1.0,1,10,0.0,6028,False,False,False,False,False,no_correctness_change,False
1,11,p - q,sympy:p - q,True,11,0,1.0,-0.0,1.0,1,11,0.0,6721,False,False,False,False,False,no_correctness_change,False
1,12,p - q,sympy:p - q,True,12,0,1.0,-0.0,1.0,1,12,0.0,7317,False,False,False,False,False,no_correctness_change,False
1,13,p - q,sympy:p - q,True,13,0,1.0,-0.0,1.0,1,13,0.0,7989,False,False,False,False,False,no_correctness_change,False
1,14,p - q,sympy:p - q,True,14,0,1.0,-0.0,1.0,1,14,0.0,8555,False,False,False,False,False,no_correctness_change,False
